Day,Batch,ID,Title,Body,Depends On,Owner,Labels,Status
1,Requirements & Architecture Baseline,BE-001,BE-001: Backend Requirements & API Scope Inventory,"With the team, inventory every capability the SRS requires from the backend and translate each into an API surface. Produce the master list of 150 backend cards mapped to SRS functional requirements (FR-01..FR-46) and use cases. Output: this backlog itself, confirmed against the SRS.

Depends on: None
Batch: 0 - Requirements & Architecture Baseline
Day: 1",None,Dev-1 (Platform Lead),day-1;batch-0;setup;backend,Todo
1,Requirements & Architecture Baseline,BE-002,BE-002: Define Backend Role and Permission Matrix,"Turn SRS Appendix C (initial permission matrix) into a concrete role→permission table: Admin, PAO, Store, TEC, Accountant, Department, Security. Flag anything not yet organization-approved as a clarification item rather than guessing.

Depends on: BE-001
Batch: 0 - Requirements & Architecture Baseline
Day: 1",BE-001,Dev-2 (Auth/RBAC),day-1;batch-0;setup;backend,Todo
1,Requirements & Architecture Baseline,BE-003,BE-003: Define Backend Workflow State Matrix,"Encode the SRS §7.1 state models (Goods Receipt, Requisition, SIV/ISIV, Return, Transfer, Disposal) as an explicit state+transition table per entity. This becomes the single source of truth every workflow-transition task checks against.

Depends on: BE-001, BE-002
Batch: 0 - Requirements & Architecture Baseline
Day: 1","BE-001, BE-002",Dev-3,day-1;batch-0;setup;backend,Todo
1,Requirements & Architecture Baseline,BE-004,BE-004: Define Transaction Posting Rules,"Write the authoritative rule set for how any stock-affecting event must be posted: always via one transactional service, always atomic, always non-negative unless an approved exception exists, always leaves a movement record. Every ledger task (Day 4) implements against this.

Depends on: BE-001, BE-003
Batch: 0 - Requirements & Architecture Baseline
Day: 1","BE-001, BE-003",Dev-4,day-1;batch-0;setup;backend,Todo
1,Requirements & Architecture Baseline,BE-005,BE-005: Define Backend Clarification Register,"Open the SRS Clarification Register (C-01..C-17) as a live tracked list (GitHub issues, label `clarification-needed`). Assign an owner per item and a target resolution date — do not let ambiguous policy silently become code.

Depends on: BE-001–BE-004
Batch: 0 - Requirements & Architecture Baseline
Day: 1",BE-001–BE-004,Dev-5,day-1;batch-0;setup;backend,Todo
1,Foundation & Infrastructure,BE-006,BE-006: Initialize Node.js/Express Backend,"`npx express-generator` or manual scaffold with TypeScript, Express, and a clean src/ layout. Confirm it boots and responds to a health-check route.

Depends on: BE-001
Batch: 1 - Foundation & Infrastructure
Day: 1",BE-001,Dev-6,day-1;batch-1;setup;backend,Todo
1,Foundation & Infrastructure,BE-007,BE-007: Establish Backend Folder/Domain Architecture,"Create the domain-oriented folder structure (e.g. src/modules/<domain>/{controller,service,repository,routes,dto}) so every later module follows the same shape.

Depends on: BE-006
Batch: 1 - Foundation & Infrastructure
Day: 1",BE-006,Dev-7,day-1;batch-1;setup;backend,Todo
1,Foundation & Infrastructure,BE-008,BE-008: Configure TypeScript and Coding Standards,"tsconfig.json (strict mode), ESLint + Prettier, and a shared style guide doc so 7 developers produce consistent code from day one.

Depends on: BE-006
Batch: 1 - Foundation & Infrastructure
Day: 1",BE-006,Dev-1 (Platform Lead),day-1;batch-1;setup;backend,Todo
1,Foundation & Infrastructure,BE-009,BE-009: Configure Environment Management,"dotenv + a validated config module (e.g. zod/joi schema for env vars) so the app refuses to boot with missing/invalid config; separate .env.development/.test/.production.

Depends on: BE-006
Batch: 1 - Foundation & Infrastructure
Day: 1",BE-006,Dev-2 (Auth/RBAC),day-1;batch-1;setup;backend,Todo
1,Foundation & Infrastructure,BE-010,BE-010: Configure PostgreSQL Connection,"pg/TypeORM/Prisma client wired to PostgreSQL with connection pooling and a config-driven connection string.

Depends on: BE-009
Batch: 1 - Foundation & Infrastructure
Day: 1",BE-009,Dev-3,day-1;batch-1;setup;backend,Todo
1,Foundation & Infrastructure,BE-011,BE-011: Configure Database Migration System,"Pick a migration tool (Prisma Migrate / TypeORM migrations / node-pg-migrate) and commit the first migration. No developer edits the schema by hand from here on.

Depends on: BE-010
Batch: 1 - Foundation & Infrastructure
Day: 1",BE-010,Dev-4,day-1;batch-1;setup;backend,Todo
